municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
315920 Santa Rita de Caldas,-,-,-,-,-,-,-,-,-,3,4,-
315940 Santa Rita de Ibitipoca,-,-,-,-,-,1,-,-,-,-,-,-
315930 Santa Rita de Jacutinga,-,-,-,-,-,-,-,-,-,1,-,-
315935 Santa Rita de Minas,-,-,-,-,-,-,-,2,7,4,1,3
315950 Santa Rita do Itueto,-,-,-,-,-,-,-,-,-,-,2,-
315960 Santa Rita do Sapucaí,-,-,-,-,-,-,-,19,30,10,6,1
315970 Santa Rosa da Serra,-,-,-,-,-,-,-,1,-,-,-,-
315980 Santa Vitória,-,-,2,-,-,-,-,4,34,26,30,7
315830 Santana da Vargem,-,-,-,-,-,-,-,1,1,-,-,-
315840 Santana de Cataguases,-,-,-,-,-,-,-,-,1,-,-,-
315850 Santana de Pirapama,-,-,-,-,-,-,-,-,-,-,-,-
315860 Santana do Deserto,-,-,-,-,-,-,-,2,2,2,-,-
315870 Santana do Garambéu,-,-,-,-,-,-,-,-,-,-,-,-
315880 Santana do Jacaré,-,-,-,-,-,-,1,-,-,-,-,-
315890 Santana do Manhuaçu,-,-,-,-,-,-,4,-,6,1,-,-
315895 Santana do Paraíso,-,-,-,-,-,-,-,4,35,44,35,23
315900 Santana do Riacho,-,-,-,-,-,-,1,1,-,-,2,-
315910 Santana dos Montes,-,-,-,-,-,-,-,-,2,-,-,-
315990 Santo Antônio do Amparo,-,-,-,2,6,3,1,16,18,5,4,-
316000 Santo Antônio do Aventureiro,-,-,-,-,-,-,-,2,1,2,-,-
316010 Santo Antônio do Grama,-,-,-,-,-,-,-,2,-,4,-,-
316020 Santo Antônio do Itambé,-,-,-,-,-,-,-,-,-,-,-,2
316030 Santo Antônio do Jacinto,-,-,-,1,1,-,-,12,11,7,3,-
316040 Santo Antônio do Monte,-,-,-,1,5,1,-,11,5,11,8,8
316045 Santo Antônio do Retiro,-,-,-,-,-,-,-,-,-,1,-,-
316050 Santo Antônio do Rio Abaixo,-,-,-,-,-,-,-,-,-,-,-,-
316060 Santo Hipólito,-,-,-,-,-,-,-,-,-,-,-,-
316070 Santos Dumont,1,-,-,-,24,7,9,22,26,14,14,1
316080 São Bento Abade,-,-,-,-,-,-,-,-,-,-,-,-
316090 São Brás do Suaçuí,-,-,-,-,-,-,-,-,-,1,-,-
316095 São Domingos das Dores,-,-,-,-,-,-,-,-,-,-,-,-
316100 São Domingos do Prata,-,-,-,-,-,-,-,-,-,-,-,-
316105 São Félix de Minas,-,-,-,-,-,-,-,2,-,2,1,-
316110 São Francisco,-,-,-,-,2,-,2,4,2,9,10,2
316120 São Francisco de Paula,-,-,-,-,-,-,-,-,-,-,-,-
316130 São Francisco de Sales,-,-,-,-,-,-,-,1,3,2,2,3
316140 São Francisco do Glória,-,-,-,-,-,-,-,-,-,-,-,1
316150 São Geraldo,-,-,-,-,-,-,-,-,-,1,2,1
316160 São Geraldo da Piedade,-,-,-,-,-,-,-,1,1,1,1,-
316165 São Geraldo do Baixio,-,-,-,-,-,-,-,-,-,-,3,1
316170 São Gonçalo do Abaeté,-,-,-,-,-,-,-,-,2,-,1,-
316180 São Gonçalo do Pará,-,-,-,-,1,2,2,9,3,5,7,3
316190 São Gonçalo do Rio Abaixo,-,-,-,-,-,3,3,1,1,6,2,1
312550 São Gonçalo do Rio Preto,-,-,-,1,-,-,-,-,-,-,-,-
316200 São Gonçalo do Sapucaí,-,-,1,5,1,-,1,4,18,5,3,1
316210 São Gotardo,1,-,-,-,1,1,-,4,6,14,4,1
316220 São João Batista do Glória,-,-,-,-,-,-,-,1,-,1,1,6
316225 São João da Lagoa,-,-,-,-,-,-,1,-,1,-,-,-
316230 São João da Mata,-,-,-,-,-,-,-,-,-,-,-,-
316240 São João da Ponte,-,-,-,-,1,-,-,-,-,-,-,-
316245 São João das Missões,-,-,-,-,-,-,-,1,-,-,2,-
316250 São João del Rei,-,-,1,2,2,26,67,124,100,83,24,16
316255 São João do Manhuaçu,-,-,-,-,-,-,-,4,5,2,1,-
316257 São João do Manteninha,-,-,-,-,-,1,-,1,-,-,-,-
316260 São João do Oriente,-,-,-,-,-,-,-,-,3,-,-,-
316265 São João do Pacuí,-,-,-,-,-,-,1,3,-,-,1,-
316270 São João do Paraíso,-,-,-,-,-,-,-,3,-,-,-,-
316280 São João Evangelista,-,-,1,-,5,1,-,-,2,5,3,2
316290 São João Nepomuceno,-,-,-,-,1,-,1,1,-,-,2,-
316292 São Joaquim de Bicas,-,-,-,-,-,2,8,2,4,12,6,1
316294 São José da Barra,-,-,-,-,-,-,-,2,2,1,2,1
316295 São José da Lapa,-,-,-,-,-,-,-,2,-,15,16,4
316300 São José da Safira,-,-,-,-,-,-,-,-,-,-,-,2
316310 São José da Varginha,-,-,-,1,-,1,-,-,-,1,2,-
316320 São José do Alegre,-,-,-,-,-,-,-,-,-,-,-,-
316330 São José do Divino,-,-,-,-,-,-,-,-,-,1,-,-
316340 São José do Goiabal,-,-,-,-,-,-,-,-,-,-,-,-
316350 São José do Jacuri,-,-,-,-,-,-,-,-,-,9,2,1
316360 São José do Mantimento,-,-,-,-,-,-,-,2,-,1,-,2
316370 São Lourenço,-,-,-,8,20,13,32,39,10,22,8,2
316380 São Miguel do Anta,-,-,-,-,-,-,-,-,-,-,-,1
316390 São Pedro da União,-,-,-,-,-,-,3,-,3,1,-,-
316410 São Pedro do Suaçuí,-,-,-,-,-,-,-,-,-,1,2,-
316400 São Pedro dos Ferros,-,-,-,-,-,-,2,1,-,2,-,-
316420 São Romão,-,-,-,-,-,-,-,-,1,1,2,-
316430 São Roque de Minas,-,-,-,-,-,-,-,-,1,-,-,-
316440 São Sebastião da Bela Vista,-,-,-,-,-,-,-,-,1,4,2,1
316443 São Sebastião da Vargem Alegre,-,-,-,-,-,-,-,-,-,-,-,-
316447 São Sebastião do Anta,-,-,-,-,-,-,-,-,1,1,-,-
316450 São Sebastião do Maranhão,-,-,-,-,-,-,-,-,4,-,-,-
316460 São Sebastião do Oeste,-,1,-,1,1,2,17,1,1,7,2,-
316470 São Sebastião do Paraíso,-,-,-,-,-,-,5,14,27,32,13,11
316480 São Sebastião do Rio Preto,-,-,-,-,-,-,-,-,-,-,-,-
316490 São Sebastião do Rio Verde,-,-,-,-,-,-,-,3,1,-,-,-
316520 São Thomé das Letras,-,-,-,-,-,-,-,2,3,5,-,-
316500 São Tiago,-,-,-,-,-,2,9,6,3,1,2,-
316510 São Tomás de Aquino,-,-,-,-,-,-,-,-,-,2,2,-
316530 São Vicente de Minas,-,-,-,-,-,-,-,1,-,1,2,-
316540 Sapucaí-Mirim,-,-,-,-,-,-,-,4,2,-,2,2
316550 Sardoá,-,-,-,-,-,-,-,-,-,-,-,-
316553 Sarzedo,-,6,-,2,-,2,-,9,5,5,26,15
316556 Sem-Peixe,-,-,-,-,-,-,-,-,-,-,-,-
316557 Senador Amaral,-,-,-,-,-,-,-,2,-,-,1,2
316560 Senador Cortes,-,-,-,-,-,-,-,-,1,-,-,-
316570 Senador Firmino,-,-,-,-,-,-,-,-,-,4,-,1
316580 Senador José Bento,-,-,-,-,-,-,-,-,-,-,-,-
316590 Senador Modestino Gonçalves,-,-,-,-,-,-,-,2,-,1,-,1
316600 Senhora de Oliveira,-,-,-,-,-,-,-,-,-,-,-,1
316610 Senhora do Porto,-,-,-,-,-,-,-,-,-,-,-,-
316620 Senhora dos Remédios,-,-,-,-,-,-,-,-,2,5,-,-
316630 Sericita,-,1,-,-,-,-,-,-,-,-,-,-
316640 Seritinga,-,1,-,-,-,-,1,-,-,-,-,-
316650 Serra Azul de Minas,-,-,-,-,-,-,-,3,4,2,-,-
316660 Serra da Saudade,-,-,-,-,-,-,-,-,-,-,-,-
316680 Serra do Salitre,1,1,1,2,4,1,5,9,4,12,12,1
316670 Serra dos Aimorés,-,-,-,-,2,-,-,-,4,3,1,1
316690 Serrania,-,-,-,1,2,-,1,1,5,1,-,3
316695 Serranópolis de Minas,-,-,-,-,-,-,-,-,-,-,-,-
316700 Serranos,-,-,-,-,-,-,-,-,-,-,-,-
316710 Serro,-,-,-,-,-,-,-,2,3,4,4,6
316720 Sete Lagoas,-,-,11,22,47,41,44,85,222,258,211,83
316555 Setubinha,-,-,-,-,-,-,-,-,-,-,4,-
316730 Silveirânia,-,-,-,-,-,-,-,-,-,-,-,-
316740 Silvianópolis,-,-,-,-,-,-,-,-,-,-,-,-
316750 Simão Pereira,-,-,-,-,-,-,-,-,-,-,1,1
316760 Simonésia,-,-,-,-,-,-,-,3,11,4,4,-
316770 Sobrália,-,-,-,-,1,-,-,-,-,-,-,-
316780 Soledade de Minas,-,-,-,-,-,-,-,-,-,1,1,-
316790 Tabuleiro,-,-,-,-,-,-,-,2,-,-,-,-
316800 Taiobeiras,-,-,-,-,-,2,-,1,1,1,10,13
316805 Taparuba,-,-,-,-,-,-,-,2,3,1,2,-
316810 Tapira,-,-,-,-,-,-,-,-,-,-,-,-
316820 Tapiraí,-,-,-,-,-,-,-,-,-,-,-,-
316830 Taquaraçu de Minas,-,-,-,-,-,-,1,2,-,1,-,-
316840 Tarumirim,-,-,-,-,-,-,-,3,-,-,-,-
316850 Teixeiras,-,-,-,-,-,-,-,-,-,1,-,-
316860 Teófilo Otoni,-,1,-,2,7,27,47,64,145,94,73,40
316870 Timóteo,-,-,-,13,5,15,14,45,35,71,47,43
316880 Tiradentes,-,-,-,-,-,-,-,8,2,2,1,-
316890 Tiros,-,-,1,-,-,-,-,-,-,4,1,-
316900 Tocantins,-,-,-,4,1,1,5,5,14,13,13,13
316905 Tocos do Moji,-,-,-,-,-,-,-,1,-,-,-,1
316910 Toledo,-,-,-,-,-,-,-,1,2,-,-,-
316920 Tombos,-,-,-,-,-,-,-,1,4,1,-,-
316930 Três Corações,-,1,-,1,2,-,7,10,28,39,18,7
316935 Três Marias,-,-,-,-,-,-,1,1,12,11,12,2
316940 Três Pontas,-,-,-,3,5,5,26,62,54,67,37,12
316950 Tumiritinga,-,-,-,-,-,-,-,-,3,3,1,3
316960 Tupaciguara,-,-,1,2,-,2,3,4,10,1,1,2
316970 Turmalina,-,-,-,-,-,-,-,4,15,3,2,7
316980 Turvolândia,-,-,-,-,-,-,-,-,-,-,-,-
316990 Ubá,-,-,-,-,3,5,1,19,62,141,143,50
317000 Ubaí,-,-,-,-,-,-,-,-,-,-,-,-
317005 Ubaporanga,-,-,-,-,-,1,-,-,5,-,-,-
317010 Uberaba,1,10,19,12,43,229,160,367,391,267,128,95
317020 Uberlândia,-,1,1,1,-,1,9,214,292,329,325,176
317030 Umburatiba,-,-,-,-,1,-,1,-,-,1,-,-
317040 Unaí,-,-,-,-,-,3,1,22,28,15,40,10
317043 União de Minas,-,-,-,-,-,-,-,-,-,-,1,-
317047 Uruana de Minas,-,-,-,-,-,-,-,-,-,-,-,-
317050 Urucânia,-,-,-,-,-,3,-,-,-,-,5,2
317052 Urucuia,-,-,-,-,-,-,-,-,-,-,1,-
317057 Vargem Alegre,-,-,-,-,-,-,-,-,-,1,-,-
317060 Vargem Bonita,-,-,-,-,-,-,-,1,-,1,-,-
317065 Vargem Grande do Rio Pardo,-,-,-,-,-,-,-,-,-,2,1,-
317070 Varginha,-,3,-,5,3,-,19,67,181,174,116,73
317075 Varjão de Minas,-,-,-,-,-,-,-,-,2,1,1,-
317080 Várzea da Palma,-,-,-,-,-,10,15,13,31,56,40,10
317090 Varzelândia,-,-,-,-,-,-,1,2,-,1,-,-
317100 Vazante,-,-,1,-,-,1,1,1,2,5,10,2
317103 Verdelândia,-,-,-,-,-,-,-,-,-,-,-,-
317107 Veredinha,-,-,-,-,-,-,-,-,-,-,-,-
317110 Veríssimo,-,-,-,-,-,2,-,-,1,-,-,-
317115 Vermelho Novo,-,-,-,-,-,1,-,-,-,-,-,-
317120 Vespasiano,-,-,1,-,13,8,14,37,64,108,72,35
317130 Viçosa,-,-,3,1,2,7,21,92,89,84,55,53
317140 Vieiras,-,-,-,-,-,-,-,-,-,-,-,-
317160 Virgem da Lapa,-,-,-,-,-,-,-,-,-,1,3,-
317170 Virgínia,-,-,-,-,-,-,-,5,4,2,1,-
317180 Virginópolis,-,-,1,-,-,-,-,7,2,2,-,1
317190 Virgolândia,-,-,-,-,-,-,-,-,-,1,1,-
317200 Visconde do Rio Branco,-,-,-,-,-,-,3,4,3,14,13,4
317210 Volta Grande,-,-,-,-,-,-,1,-,2,1,-,-
317220 Wenceslau Braz,-,-,-,-,-,-,-,-,-,-,-,-
310000 Município ignorado - MG,-,-,-,-,-,-,-,-,-,-,-,-
320010 Afonso Cláudio,-,-,5,5,9,15,47,20,34,25,22,11
320016 Água Doce do Norte,-,-,-,-,-,4,-,-,1,-,-,-
320013 Águia Branca,-,-,-,-,-,2,-,2,1,4,1,-
320020 Alegre,-,-,-,-,-,-,-,-,23,19,27,2
320030 Alfredo Chaves,-,2,-,1,-,-,3,2,2,1,-,-
320035 Alto Rio Novo,-,-,-,-,-,-,-,2,1,-,-,-
320040 Anchieta,-,-,6,23,20,36,19,31,55,59,45,13
320050 Apiacá,-,-,-,-,-,-,-,4,2,-,5,2
320060 Aracruz,-,-,-,12,35,71,109,95,131,60,23,13
320070 Atilio Vivacqua,-,2,2,6,3,3,8,7,13,3,4,2
320080 Baixo Guandu,-,-,-,-,-,-,21,6,2,1,-,1
320090 Barra de São Francisco,-,3,1,-,7,14,17,16,31,10,9,3
320100 Boa Esperança,-,-,-,5,2,8,21,18,21,33,10,4
320110 Bom Jesus do Norte,-,-,-,6,5,8,7,1,2,-,1,1
320115 Brejetuba,-,-,-,-,-,-,1,1,-,2,-,-
320120 Cachoeiro de Itapemirim,-,35,14,165,129,95,151,310,357,404,190,76
320130 Cariacica,-,15,27,35,69,55,88,159,229,188,209,118
320140 Castelo,-,-,1,13,44,29,28,28,54,39,14,14
320150 Colatina,-,-,56,105,90,148,109,85,129,165,90,66
320160 Conceição da Barra,-,-,38,4,2,7,26,28,25,14,4,11
320170 Conceição do Castelo,-,-,-,-,-,-,-,2,9,11,5,1
320180 Divino de São Lourenço,-,-,-,-,-,-,1,-,-,-,-,-
320190 Domingos Martins,-,2,-,1,7,8,11,7,7,4,4,-
320200 Dores do Rio Preto,-,-,-,1,-,1,3,2,10,3,6,-
320210 Ecoporanga,-,-,-,-,-,-,1,1,13,10,1,-
320220 Fundão,-,-,3,3,3,8,10,16,19,18,3,3
320225 Governador Lindenberg,-,4,-,-,-,6,-,1,8,9,1,3
320230 Guaçuí,-,-,-,33,49,45,28,36,33,17,14,2
320240 Guarapari,1,46,41,27,47,95,156,157,227,230,155,112
320245 Ibatiba,-,-,-,5,3,11,11,10,17,9,8,1
320250 Ibiraçu,-,4,1,-,-,5,14,9,7,1,4,-
320255 Ibitirama,-,-,-,1,-,-,-,3,5,6,2,-
320260 Iconha,-,-,1,-,1,-,2,8,3,1,-,2
320265 Irupi,-,-,-,-,-,-,-,6,6,1,1,-
320270 Itaguaçu,-,2,10,5,1,-,1,1,7,3,1,1
320280 Itapemirim,-,-,26,87,29,20,26,21,68,22,13,-
320290 Itarana,-,-,-,-,-,-,-,1,9,1,-,1
320300 Iúna,2,-,-,2,4,10,7,4,31,10,2,8
320305 Jaguaré,-,-,2,1,5,20,50,59,39,17,15,5
320310 Jerônimo Monteiro,-,1,9,1,4,16,7,8,8,2,4,2
320313 João Neiva,-,-,2,1,1,-,3,7,6,4,2,2
320316 Laranja da Terra,-,-,-,1,1,-,-,4,5,3,-,2
320320 Linhares,-,12,39,62,148,169,71,115,249,305,195,124
320330 Mantenópolis,-,1,2,4,1,8,3,1,8,4,4,-
320332 Marataízes,-,1,7,16,6,2,10,22,22,10,12,2
320334 Marechal Floriano,-,7,11,23,24,13,13,9,13,15,14,2
320335 Marilândia,-,-,-,-,2,1,1,-,7,4,-,1
320340 Mimoso do Sul,-,8,5,2,1,10,4,14,7,11,4,-
320350 Montanha,-,-,2,4,3,6,3,7,2,10,11,7
320360 Mucurici,-,-,-,-,-,-,3,1,5,2,6,-
320370 Muniz Freire,-,2,5,-,-,-,2,-,3,3,1,1
320380 Muqui,-,-,-,1,2,9,7,4,5,7,-,-
320390 Nova Venécia,-,6,11,24,22,27,20,54,47,29,6,5
320400 Pancas,-,-,-,-,1,1,3,5,9,10,4,-
320405 Pedro Canário,-,-,1,14,10,6,7,27,15,18,12,10
320410 Pinheiros,-,-,-,2,2,7,6,34,17,14,13,5
320420 Piúma,-,-,-,24,-,-,5,5,9,6,4,1
320425 Ponto Belo,-,-,1,1,3,3,78,5,1,2,6,1
320430 Presidente Kennedy,-,-,-,4,2,2,13,20,10,17,13,12
320435 Rio Bananal,-,3,1,4,9,8,10,26,12,8,7,5
320440 Rio Novo do Sul,-,-,1,2,-,-,1,1,2,3,2,1
320450 Santa Leopoldina,-,-,-,1,-,-,-,2,6,3,-,1
320455 Santa Maria de Jetibá,-,1,1,8,1,3,5,7,12,9,14,6
320460 Santa Teresa,-,-,-,-,2,1,2,4,7,11,14,28
320465 São Domingos do Norte,-,-,-,-,3,2,4,11,32,35,33,4
320470 São Gabriel da Palha,17,37,30,33,20,44,30,46,35,37,25,15
320480 São José do Calçado,-,-,4,1,9,3,4,6,4,4,-,3
320490 São Mateus,3,30,101,90,127,262,361,242,244,153,93,92
320495 São Roque do Canaã,-,-,4,-,-,-,4,-,5,1,-,1
320500 Serra,1,86,241,188,254,6,7,290,450,359,353,148
320501 Sooretama,-,-,-,5,10,7,12,21,27,31,9,2
320503 Vargem Alta,-,-,-,-,-,-,-,2,1,3,4,-
320506 Venda Nova do Imigrante,-,9,5,3,10,7,9,15,13,17,7,16
320510 Viana,-,18,15,-,-,12,37,75,78,90,35,29
320515 Vila Pavão,-,-,-,1,-,-,-,3,5,2,3,-
320517 Vila Valério,-,-,-,-,-,-,2,-,-,4,3,2
320520 Vila Velha,2,363,406,483,468,328,937,846,736,1153,481,324
320530 Vitória,20,212,283,371,659,766,753,495,760,1217,886,490
320000 Município ignorado - ES,-,-,-,-,-,-,-,-,-,-,-,-
330010 Angra dos Reis,109,10,10,20,15,52,67,51,79,119,72,28
330015 Aperibé,-,-,-,-,-,-,1,-,-,5,2,-
330020 Araruama,-,-,2,2,3,5,6,28,13,21,27,27
330022 Areal,-,-,-,-,1,-,-,4,-,5,-,-
330023 Armação dos Búzios,-,-,-,4,1,4,12,13,8,12,10,3
330025 Arraial do Cabo,2,-,-,2,6,1,9,22,20,11,4,3
330030 Barra do Piraí,-,8,9,11,16,10,39,61,45,20,28,11
330040 Barra Mansa,-,-,-,1,3,-,-,7,16,31,1,-
330045 Belford Roxo,9,19,2,1,13,67,31,71,189,427,286,100
330050 Bom Jardim,-,-,-,-,-,-,-,-,-,-,2,1
330060 Bom Jesus do Itabapoana,-,-,-,-,18,5,10,8,11,21,18,3
330070 Cabo Frio,-,1,-,8,6,10,16,27,90,100,154,110
330080 Cachoeiras de Macacu,4,-,-,-,-,-,1,-,10,-,1,5
330090 Cambuci,-,-,-,-,-,1,-,-,-,-,-,-
330100 Campos dos Goytacazes,-,4,13,8,25,16,64,92,57,153,29,77
330110 Cantagalo,-,-,-,1,-,2,1,5,3,6,11,-
330093 Carapebus,-,-,-,-,-,3,1,-,-,-,5,1
330115 Cardoso Moreira,-,-,-,-,1,2,-,-,-,-,-,-
330120 Carmo,-,-,-,-,1,-,5,9,4,3,4,1
330130 Casimiro de Abreu,-,-,-,-,-,-,-,1,33,-,-,-
330095 Comendador Levy Gasparian,-,-,-,-,-,-,-,-,-,1,-,1
330140 Conceição de Macabu,-,-,-,1,2,7,2,1,6,8,8,1
330150 Cordeiro,-,3,-,1,-,2,-,7,8,16,-,-
330160 Duas Barras,-,1,-,-,-,-,1,-,-,-,-,-
330170 Duque de Caxias,-,-,30,-,7,14,8,225,310,398,193,69
330180 Engenheiro Paulo de Frontin,-,-,1,-,-,-,1,3,-,-,1,-
330185 Guapimirim,-,2,-,3,1,13,-,9,22,139,58,43
330187 Iguaba Grande,-,-,-,-,-,-,6,14,9,18,7,11
330190 Itaboraí,13,14,30,42,81,54,78,253,263,208,203,77
330200 Itaguaí,-,-,1,3,1,5,17,25,82,85,31,13
330205 Italva,-,-,-,-,-,-,-,1,-,-,-,-
330210 Itaocara,-,-,-,-,-,1,1,1,-,-,-,-
330220 Itaperuna,1,-,3,2,1,-,4,-,-,1,-,4
330225 Itatiaia,1,-,2,-,1,2,1,4,5,11,9,6
330227 Japeri,4,1,-,2,12,30,60,79,155,58,96,34
330230 Laje do Muriaé,-,-,-,-,-,-,-,-,-,-,-,-
330240 Macaé,1,24,75,62,93,120,375,423,426,499,272,148
330245 Macuco,-,-,-,-,-,-,1,2,2,4,-,-
330250 Magé,-,2,11,33,27,53,33,207,520,328,346,105
330260 Mangaratiba,-,-,-,-,-,-,1,2,9,4,15,7
330270 Maricá,-,-,2,-,11,20,20,64,91,128,83,56
330280 Mendes,-,-,6,7,5,6,11,4,3,-,-,1
330285 Mesquita,15,14,18,25,11,-,42,64,227,240,157,91
330290 Miguel Pereira,1,2,-,1,1,4,11,9,4,10,17,2
330300 Miracema,-,-,-,-,-,3,3,-,-,-,-,2
330310 Natividade,-,3,-,1,-,1,-,2,1,1,-,-
330320 Nilópolis,-,1,-,1,-,1,11,8,21,95,99,28
330330 Niterói,-,-,1,159,314,513,608,558,756,724,518,172
330340 Nova Friburgo,-,2,-,-,-,2,3,11,-,8,-,-
330350 Nova Iguaçu,-,-,6,9,16,6,335,1066,1908,1919,1119,538
330360 Paracambi,2,4,6,1,-,-,1,17,16,35,25,8
330370 Paraíba do Sul,1,-,-,-,1,-,1,3,7,3,4,1
330380 Paraty,1,4,-,-,2,4,21,3,1,4,-,-
330385 Paty do Alferes,1,1,6,16,3,4,6,28,20,11,10,2
330390 Petrópolis,13,1,3,28,3,2,11,-,2,378,742,361
330395 Pinheiral,-,4,1,4,5,-,17,24,6,-,6,-
330400 Piraí,-,-,1,-,-,-,-,-,1,2,10,3
330410 Porciúncula,-,1,-,2,-,1,-,10,16,17,3,-
330411 Porto Real,-,-,-,1,4,10,5,20,15,16,17,1
330412 Quatis,-,-,-,-,-,3,10,8,2,1,1,-
330414 Queimados,-,-,-,-,-,-,-,-,-,1,38,41
330415 Quissamã,-,-,-,-,2,4,12,6,10,15,7,5
330420 Resende,1,1,4,4,4,10,8,1,4,4,19,26
330430 Rio Bonito,-,-,1,3,-,1,-,-,-,2,-,-
330440 Rio Claro,-,-,-,-,-,-,-,1,4,18,10,1
330450 Rio das Flores,-,-,2,1,-,-,-,2,1,4,1,-
330452 Rio das Ostras,3,6,28,38,49,32,75,91,82,90,83,45
330455 Rio de Janeiro,880,1290,1408,2592,2019,2501,4531,7309,8334,8493,7954,3533
330460 Santa Maria Madalena,-,2,-,-,-,-,-,-,-,1,-,-
330470 Santo Antônio de Pádua,1,-,-,-,1,-,4,9,5,40,9,-
330480 São Fidélis,-,-,-,1,-,-,-,10,2,-,-,-
330475 São Francisco de Itabapoana,-,-,-,-,-,-,-,2,-,1,8,1
330490 São Gonçalo,1,2,31,12,103,223,364,415,764,1163,608,136
330500 São João da Barra,-,-,-,-,-,7,3,5,1,-,-,-
330510 São João de Meriti,1,-,-,1,21,44,56,262,493,290,153,21
330513 São José de Ubá,-,-,-,-,-,3,-,1,-,-,-,2
330515 São José do Vale do Rio Preto,-,-,-,-,-,-,-,-,1,2,5,2
330520 São Pedro da Aldeia,-,-,-,-,-,-,1,-,20,-,-,15
330530 São Sebastião do Alto,-,-,-,-,-,-,-,1,-,1,-,-
330540 Sapucaia,-,-,-,-,-,-,-,5,-,1,3,3
330550 Saquarema,-,-,3,-,2,-,16,12,32,83,29,17
330555 Seropédica,2,-,-,-,9,15,4,10,3,16,15,7
330560 Silva Jardim,-,-,-,-,1,-,-,2,5,5,2,1
330570 Sumidouro,-,-,-,-,-,3,-,3,-,1,1,-
330575 Tanguá,-,-,-,-,-,-,-,-,1,8,5,1
330580 Teresópolis,-,-,-,13,19,19,5,-,-,-,-,-
330590 Trajano de Moraes,-,-,-,-,-,-,-,-,4,-,-,-
330600 Três Rios,-,3,1,2,4,1,-,6,1,13,1,-
330610 Valença,21,7,10,8,14,28,28,86,192,199,145,89
330615 Varre-Sai,-,-,-,-,-,-,-,-,-,1,-,-
330620 Vassouras,-,-,-,1,1,3,5,3,1,-,-,5
330630 Volta Redonda,-,-,4,-,15,31,41,155,179,159,138,44
330000 Município ignorado - RJ,-,-,-,-,-,-,-,-,-,-,-,-
350010 Adamantina,-,-,-,-,-,-,12,31,17,13,11,3
350020 Adolfo,-,-,-,-,-,-,-,3,5,3,-,-
350030 Aguaí,-,1,-,1,15,6,9,12,7,6,2,-
350040 Águas da Prata,-,-,-,-,-,-,-,-,3,1,-,-
350050 Águas de Lindóia,-,1,1,4,1,3,1,6,6,3,5,6
350055 Águas de Santa Bárbara,-,-,-,-,-,1,-,-,-,2,2,-
350060 Águas de São Pedro,-,-,-,-,-,-,1,1,-,-,-,-
350070 Agudos,-,-,-,-,-,-,-,4,8,7,4,7
350075 Alambari,-,-,-,1,-,-,-,-,-,-,-,-
350080 Alfredo Marcondes,-,-,-,2,-,-,-,-,-,-,-,-
350090 Altair,-,-,1,-,-,1,-,-,-,-,-,-
350100 Altinópolis,-,-,-,-,-,1,-,3,8,5,-,3
350110 Alto Alegre,-,1,2,1,-,-,-,1,-,2,-,-
350115 Alumínio,-,-,-,-,-,-,-,4,1,9,6,-
350120 Álvares Florence,1,-,-,-,-,-,-,4,1,-,-,-
350130 Álvares Machado,-,-,-,-,-,-,-,2,10,9,7,1
350140 Álvaro de Carvalho,-,-,-,1,6,4,2,13,21,26,5,6
350150 Alvinlândia,-,-,-,-,-,1,1,2,-,2,-,-
350160 Americana,-,-,92,125,136,138,150,192,141,176,100,69
350170 Américo Brasiliense,1,7,4,-,-,4,2,9,12,2,-,-
350180 Américo de Campos,-,-,-,-,-,-,-,11,7,3,1,1
350190 Amparo,-,1,6,4,18,17,22,42,63,64,35,13
350200 Analândia,-,-,-,-,-,2,2,-,1,-,-,-
350210 Andradina,-,7,4,21,39,49,62,102,54,50,19,15
350220 Angatuba,-,-,-,3,-,-,1,1,4,1,-,-
350230 Anhembi,-,1,2,4,4,6,2,5,4,-,-,-
350240 Anhumas,-,-,-,-,-,1,3,2,-,3,2,-
350250 Aparecida,-,-,-,4,19,13,35,32,46,18,17,18
350260 Aparecida d'Oeste,-,-,-,1,-,-,3,4,7,1,-,-
350270 Apiaí,-,2,4,6,8,25,13,21,6,7,5,2
350275 Araçariguama,-,-,-,-,-,1,10,8,10,9,6,5
350280 Araçatuba,-,19,28,39,33,3,17,52,134,68,42,-
350290 Araçoiaba da Serra,-,-,-,-,2,-,-,2,2,5,3,2
350300 Aramina,-,-,-,1,-,-,-,-,-,-,-,-
350310 Arandu,-,-,-,-,-,-,-,1,1,-,2,1
350315 Arapeí,-,-,-,-,-,-,-,-,-,-,-,-
350320 Araraquara,-,40,131,175,176,123,147,202,330,218,110,55
350330 Araras,1,3,44,128,60,53,72,113,78,77,40,18
350335 Arco-Íris,-,-,-,-,-,-,-,-,-,-,-,-
350340 Arealva,-,-,-,-,-,-,-,2,1,1,2,-
350350 Areias,-,-,-,-,-,-,-,-,-,-,-,-
350360 Areiópolis,-,-,-,3,2,5,8,13,6,3,2,-
350370 Ariranha,-,1,1,4,1,1,9,7,5,3,-,3
350380 Artur Nogueira,-,-,-,-,-,-,-,2,-,-,-,-
350390 Arujá,-,1,-,-,1,-,1,4,25,15,16,12
350395 Aspásia,-,-,-,-,-,-,-,-,-,-,-,-
350400 Assis,-,18,54,56,77,112,100,141,129,119,76,69
350410 Atibaia,-,-,-,4,5,7,-,7,79,117,69,38
